band_size,band_fraction,precision,positives_in_band,recall,threshold,feasible,binding
2,6.069802731411229e-05,0.5,1,0.00026939655172413793,0.9411291535563093,False,support
4,0.00012139605462822458,0.75,3,0.0008081896551724138,0.9407800151375763,False,support
6,0.00018209408194233686,0.6666666666666666,4,0.0010775862068965517,0.9401492317841393,False,support
9,0.0002731411229135053,0.6666666666666666,6,0.0016163793103448276,0.9393917136966402,False,support
15,0.0004552352048558422,0.5333333333333333,8,0.0021551724137931034,0.9392003960278245,False,support
16,0.0004855842185128983,0.5,8,0.0021551724137931034,0.9389538095907853,False,support
20,0.0006069802731411229,0.45,9,0.0024245689655172415,0.9375258910536541,False,support
28,0.0008497723823975721,0.4642857142857143,13,0.003502155172413793,0.9374877692737376,False,support
31,0.0009408194233687405,0.45161290322580644,14,0.003771551724137931,0.9374798003021216,False,support
39,0.0011836115326251896,0.46153846153846156,18,0.004849137931034483,0.9373712156424758,False,support
41,0.001244309559939302,0.4634146341463415,19,0.0051185344827586205,0.9373184845233803,False,support
45,0.0013657056145675265,0.4888888888888889,22,0.005926724137931034,0.9367706696109604,False,support
48,0.001456752655538695,0.5,24,0.00646551724137931,0.936761613572586,False,support
53,0.0016084977238239758,0.5283018867924528,28,0.007543103448275862,0.9366840163199595,False,support
54,0.0016388467374810318,0.5370370370370371,29,0.0078125,0.9366027725518608,False,support
58,0.0017602427921092564,0.5344827586206896,31,0.008351293103448275,0.9363210024653081,False,support
59,0.0017905918057663126,0.5423728813559322,32,0.008620689655172414,0.9359048253374006,False,support
64,0.0019423368740515933,0.546875,35,0.009428879310344827,0.9355935464305758,False,support
65,0.0019726858877086493,0.5538461538461539,36,0.009698275862068966,0.9353553582376906,False,support
73,0.0022154779969650986,0.5753424657534246,42,0.011314655172413793,0.9352377633387426,False,support
80,0.0024279210925644916,0.5875,47,0.012661637931034482,0.9351892450047475,True,
82,0.002488619119878604,0.5975609756097561,49,0.013200431034482759,0.9350581941588995,True,
84,0.002549317147192716,0.5833333333333334,49,0.013200431034482759,0.9348014316562208,True,
93,0.0028224582701062216,0.5806451612903226,54,0.014547413793103448,0.9347340904449246,True,
94,0.002852807283763278,0.574468085106383,54,0.014547413793103448,0.9343739482863076,True,
96,0.00291350531107739,0.5729166666666666,55,0.014816810344827586,0.9340648920982543,True,
103,0.003125948406676783,0.5825242718446602,60,0.016163793103448277,0.9340382419187042,True,
108,0.0032776934749620635,0.5925925925925926,64,0.017241379310344827,0.933901215237054,True,
116,0.003520485584218513,0.603448275862069,70,0.018857758620689655,0.9337019220438953,True,
123,0.003732928679817906,0.6016260162601627,74,0.01993534482758621,0.9333606164919622,True,
129,0.003915022761760243,0.5968992248062015,77,0.020743534482758622,0.9332739840526103,True,
131,0.003975720789074355,0.6030534351145038,79,0.021282327586206896,0.9331966390523507,True,
136,0.004127465857359636,0.5882352941176471,80,0.021551724137931036,0.9331787545347034,True,
137,0.004157814871016692,0.5912408759124088,81,0.021821120689655173,0.9331040403414474,True,
145,0.004400606980273141,0.6,87,0.0234375,0.9328645577243424,True,
