band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
6798,0.2063125948406677,0.9682259488084731,216,0.05818965517241379,0.2709277229955797,True,
6800,0.20637329286798178,0.9682352941176471,216,0.05818965517241379,0.2709650637278702,True,
6815,0.20682852807283764,0.9683052090975789,216,0.05818965517241379,0.27096580867677356,True,
6840,0.20758725341426404,0.968421052631579,216,0.05818965517241379,0.27097522741620633,True,
6863,0.20828528072837632,0.9685268832871922,216,0.05818965517241379,0.2709980657519938,True,
6876,0.20867981790591805,0.9684409540430483,217,0.05845905172413793,0.2711308331486755,True,
6894,0.20922610015174506,0.9683782999709892,218,0.05872844827586207,0.271208686551883,True,
6917,0.20992412746585737,0.9684834465808877,218,0.05872844827586207,0.2712368528313776,True,
6930,0.2103186646433991,0.9685425685425686,218,0.05872844827586207,0.27131163668789177,True,
6931,0.21034901365705613,0.9685471071995383,218,0.05872844827586207,0.2715786236031704,True,
6940,0.21062215477996965,0.9685878962536023,218,0.05872844827586207,0.2715809264131695,True,
6946,0.21080424886191199,0.9686150302332277,218,0.05872844827586207,0.2716282358050805,True,
6966,0.2114112291350531,0.9685615848406546,219,0.05899784482758621,0.27167172350169555,True,
6968,0.21147192716236723,0.9685706084959816,219,0.05899784482758621,0.2717070469811428,True,
6996,0.2123216995447648,0.9686963979416809,219,0.05899784482758621,0.2720678284799625,True,
6998,0.2123823975720789,0.9687053443841097,219,0.05899784482758621,0.2722145146516158,True,
6999,0.21241274658573597,0.9687098156879554,219,0.05899784482758621,0.2722429275316393,True,
7011,0.21277693474962064,0.9686207388389674,220,0.059267241379310345,0.27230459473894797,True,
7023,0.21314112291350532,0.9682471878114766,223,0.060075431034482756,0.27256700898279607,True,
7033,0.21344461305007587,0.9682923361296744,223,0.060075431034482756,0.2728819915902438,True,
7046,0.2138391502276176,0.9682089128583593,224,0.0603448275862069,0.27295030738902354,True,
7079,0.21484066767830046,0.9679333239158073,227,0.06115301724137931,0.27312126226420186,True,
7080,0.21487101669195752,0.9679378531073446,227,0.06115301724137931,0.2734707017344642,True,
7103,0.2155690440060698,0.9679008869491764,228,0.061422413793103446,0.27357408619138546,True,
7109,0.21575113808801213,0.9677873118582079,229,0.06169181034482758,0.2735843258448874,True,
