threshold,f_beta,pred_pos_rate
0.05,0.43840438013296834,0.7134142640364188
0.060000000000000005,0.4949109859746074,0.4170864946889226
0.07,0.5173841059602649,0.31927162367223066
0.08000000000000002,0.5332994192208232,0.26528072837632777
0.09000000000000001,0.5338983050847458,0.24770864946889226
0.1,0.5397080487478237,0.22922610015174508
0.11000000000000001,0.5385279026472325,0.21775417298937785
0.12000000000000001,0.5382165605095541,0.21644916540212444
0.13,0.5344683226346637,0.20182094081942337
0.14,0.5336061332957057,0.19462822458270107
0.15000000000000002,0.5341033840866785,0.18522003034901366
0.16000000000000003,0.5341880341880342,0.18142640364188165
0.17000000000000004,0.5318328594149115,0.17908952959028832
0.18000000000000005,0.5261619409529378,0.17232169954476478
0.19,0.5232786563205972,0.16734446130500757
0.2,0.5217715849713859,0.1592412746585736
0.21000000000000002,0.5181736257134275,0.1555690440060698
0.22000000000000003,0.5104414218536684,0.14959028831562973
0.23000000000000004,0.5053407934893184,0.14603945371775418
0.24000000000000005,0.4980498819665401,0.14075872534142642
0.25000000000000006,0.489648033126294,0.13572078907435509
0.26000000000000006,0.4813632080410428,0.12910470409711686
0.27,0.4750713003063272,0.1240060698027314
0.28,0.4665352232761377,0.11890743550834598
0.29000000000000004,0.45248868778280543,0.11277693474962064
0.30000000000000004,0.4467876943145994,0.10773899848254932
0.31000000000000005,0.43528441879637264,0.10157814871016692
0.32000000000000006,0.43282758620689654,0.09945371775417298
0.33,0.42302126238450405,0.09462822458270106
0.34,0.42013055850025105,0.09332321699544764
0.35000000000000003,0.41922518700457745,0.09305007587253414
0.36000000000000004,0.4176444295452006,0.09256449165402124
0.37000000000000005,0.415641771019678,0.09226100151745069
0.38000000000000006,0.41099725628534634,0.09138088012139606
0.39000000000000007,0.408512308641283,0.0905918057663126
0.4000000000000001,0.4047752808988764,0.08959028831562975
0.4100000000000001,0.3980505943996845,0.08804248861911988
0.42000000000000004,0.39426118391323994,0.08667678300455235
0.43000000000000005,0.3776753187613843,0.08254931714719271
0.44000000000000006,0.35673154439709776,0.07641881638846737
0.45000000000000007,0.32889356233204814,0.06889226100151745
0.4600000000000001,0.3019158906222196,0.06103186646433991
0.4700000000000001,0.27487382840663305,0.054506828528072836
0.4800000000000001,0.24873806483001884,0.04840667678300455
0.49000000000000005,0.21555445910941162,0.04145675265553869
