epoch,train_loss,val_roc_auc
1,0.5599047490047574,0.7900441751582684
2,0.5506397492359012,0.7904870728718192
3,0.5501780756192456,0.789823544966398
4,0.5498748316727207,0.7898178143120637
5,0.5495960277073576,0.7900853130697396
6,0.5494179378880092,0.7896757759510635
7,0.5492351805110535,0.7889762267898266
8,0.5490568308587793,0.7889314048862833
9,0.5489115004562127,0.7891907169949105
10,0.5487754252680087,0.7891057805110272
11,0.548653470723027,0.7883530181309716
12,0.5485261006671015,0.7880707834050077
13,0.548385575298967,0.7877664447266112
14,0.5482581584475389,0.7877038168613861
15,0.5481150672148121,0.7870924788436522
16,0.5479885824038156,0.7875740584739597
17,0.5478069451877755,0.7878740991616052
