band_size,band_fraction,precision,positives_in_band,recall,threshold,feasible,binding
191,0.005796661608497723,0.6230366492146597,119,0.03205818965517242,0.9327971193512798,True,
198,0.006009104704097117,0.6313131313131313,125,0.033674568965517244,0.9324254023699823,True,
202,0.006130500758725342,0.6237623762376238,126,0.03394396551724138,0.9322833203372497,True,
216,0.006555386949924127,0.6296296296296297,136,0.036637931034482756,0.9319822005165204,True,
217,0.006585735963581183,0.631336405529954,137,0.0369073275862069,0.9315888832726384,True,
221,0.006707132018209408,0.6289592760180995,139,0.03744612068965517,0.9303096511313267,True,
222,0.006737481031866464,0.6306306306306306,140,0.03771551724137931,0.9300519010436648,True,
225,0.006828528072837633,0.6311111111111111,142,0.03825431034482758,0.929998577913469,True,
227,0.0068892261001517454,0.6343612334801763,144,0.03879310344827586,0.928891963239432,True,
241,0.007314112291350531,0.6307053941908713,152,0.040948275862068964,0.928676103119891,True,
260,0.007890743550834597,0.6269230769230769,163,0.04391163793103448,0.9286740884852036,True,
264,0.008012139605462822,0.6287878787878788,166,0.0447198275862069,0.9285561984253714,True,
270,0.00819423368740516,0.6259259259259259,169,0.04552801724137931,0.9284344727502798,True,
271,0.008224582701062216,0.6273062730627307,170,0.045797413793103446,0.9281609921360863,True,
273,0.008285280728376327,0.63003663003663,172,0.04633620689655173,0.9281112730536029,True,
275,0.00834597875569044,0.6290909090909091,173,0.04660560344827586,0.927921143209631,True,
284,0.008619119878603945,0.6302816901408451,179,0.04822198275862069,0.9278474452064034,True,
289,0.008770864946889226,0.629757785467128,182,0.0490301724137931,0.9271131439009535,True,
290,0.008801213960546282,0.6275862068965518,182,0.0490301724137931,0.9270914592384096,True,
291,0.008831562974203339,0.6254295532646048,182,0.0490301724137931,0.9270106717005183,True,
292,0.008861911987860394,0.6267123287671232,183,0.049299568965517244,0.9265904129261692,True,
295,0.008952959028831564,0.6271186440677966,185,0.04983836206896552,0.9265184961831731,True,
296,0.00898330804248862,0.6283783783783784,186,0.050107758620689655,0.9264704106792657,True,
300,0.009104704097116844,0.63,189,0.05091594827586207,0.9262834147768507,True,
302,0.009165402124430956,0.6258278145695364,189,0.05091594827586207,0.9262523442078766,True,
304,0.009226100151745069,0.6282894736842105,191,0.051454741379310345,0.9262196795900319,True,
305,0.009256449165402124,0.6295081967213115,192,0.05172413793103448,0.9262125479798718,True,
307,0.009317147192716237,0.6286644951140065,193,0.05199353448275862,0.9261050282227254,True,
308,0.009347496206373294,0.6298701298701299,194,0.052262931034482756,0.9257700757355705,True,
315,0.009559939301972686,0.6285714285714286,198,0.05334051724137931,0.9256208055309757,True,
317,0.009620637329286799,0.6309148264984227,200,0.05387931034482758,0.925372672911944,True,
318,0.009650986342943854,0.6320754716981132,201,0.05414870689655173,0.9247669392760166,True,
332,0.010075872534142641,0.6325301204819277,210,0.056573275862068964,0.9246394610749499,True,
336,0.010197268588770864,0.6309523809523809,212,0.057112068965517244,0.9242749003222168,True,
