band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
93,0.0028224582701062216,0.956989247311828,4,0.0010775862068965517,0.15365526831485746,False,support
196,0.0059484066767830045,0.9642857142857143,7,0.0018857758620689656,0.15467294894416095,True,
219,0.006646433990895296,0.958904109589041,9,0.0024245689655172415,0.16905514729119683,True,
578,0.017541729893778453,0.9550173010380623,26,0.007004310344827586,0.16927084574175805,False,npv
607,0.01842185128983308,0.9555189456342669,27,0.007273706896551724,0.17026616775502332,False,npv
705,0.02139605462822458,0.9588652482269504,29,0.0078125,0.17490073184371333,True,
737,0.02236722306525038,0.9592944369063772,30,0.008081896551724138,0.17735100601339834,True,
1076,0.032655538694992416,0.9591078066914498,44,0.011853448275862068,0.18041292067301565,True,
1183,0.03590288315629742,0.9611158072696534,46,0.012392241379310345,0.19117618605831296,True,
1246,0.03781487101669196,0.9606741573033708,49,0.013200431034482759,0.19185105786710846,True,
1299,0.039423368740515934,0.9599692070823711,52,0.014008620689655173,0.19414352027083884,True,
1809,0.05490136570561457,0.9585406301824212,75,0.020204741379310345,0.1989445376152547,True,
1925,0.05842185128983308,0.961038961038961,75,0.020204741379310345,0.19969990086692443,True,
2270,0.06889226100151745,0.9638766519823788,82,0.02209051724137931,0.20142315612644024,True,
2454,0.07447647951441579,0.9633251833740831,90,0.024245689655172414,0.20166401178131693,True,
2958,0.08977238239757208,0.9638269100743746,107,0.02882543103448276,0.2029787767383605,True,
3029,0.09192716236722306,0.9640145262462859,109,0.029364224137931036,0.2034158772835928,True,
3388,0.10282245827010622,0.9657615112160567,116,0.03125,0.20345155454774905,True,
3389,0.10285280728376328,0.9657716140454411,116,0.03125,0.20453223080623634,True,
3575,0.10849772382397573,0.9653146853146853,124,0.0334051724137931,0.20477742455910777,True,
3623,0.10995447647951441,0.9654982059067071,125,0.033674568965517244,0.20520757259278827,True,
3984,0.12091047040971169,0.9671184738955824,131,0.03529094827586207,0.2063299208627183,True,
4170,0.12655538694992413,0.9671462829736212,137,0.0369073275862069,0.20634952805126316,True,
4200,0.1274658573596358,0.9673809523809523,137,0.0369073275862069,0.20681215521594826,True,
4237,0.12858877086494688,0.9676658012744866,137,0.0369073275862069,0.20824710507475266,True,
4713,0.14303490136570562,0.967748779970295,152,0.040948275862068964,0.20852542330961504,True,
4895,0.14855842185128984,0.967926455566905,157,0.042295258620689655,0.210867550182596,True,
5419,0.16446130500758727,0.9684443624284923,171,0.04606681034482758,0.21627852212865822,True,
5940,0.1802731411229135,0.9693602693602693,182,0.0490301724137931,0.21719809877288046,True,
5942,0.1803338391502276,0.9693705822955234,182,0.0490301724137931,0.2179925294414491,True,
6116,0.1856145675265554,0.9697514715500327,185,0.04983836206896552,0.22231132948782667,True,
6122,0.18579666160849773,0.9697811172819341,185,0.04983836206896552,0.22302313753522116,True,
6129,0.18600910470409712,0.9698156306085821,185,0.04983836206896552,0.225397692527925,True,
6191,0.1878907435508346,0.9701179130996608,185,0.04983836206896552,0.2263822820016032,True,
6193,0.18795144157814872,0.9701275633780074,185,0.04983836206896552,0.22935190835594457,True,
6201,0.18819423368740515,0.9700048379293662,186,0.050107758620689655,0.22965094677969997,True,
6202,0.1882245827010622,0.9700096742986134,186,0.050107758620689655,0.23425624358894373,True,
6204,0.18828528072837633,0.9700193423597679,186,0.050107758620689655,0.2342601919077147,True,
6222,0.18883156297420334,0.9699453551912568,187,0.05037715517241379,0.2346571754686499,True,
6225,0.18892261001517452,0.9699598393574297,187,0.05037715517241379,0.23764409848713947,True,
6250,0.18968133535660092,0.96992,188,0.05064655172413793,0.24060272562472776,True,
6252,0.18974203338391502,0.9699296225207934,188,0.05064655172413793,0.245471102646431,True,
6267,0.19019726858877087,0.9700015956598054,188,0.05064655172413793,0.2470019507084035,True,
6272,0.19034901365705614,0.9700255102040817,188,0.05064655172413793,0.24723372400717397,True,
6288,0.19083459787556906,0.9701017811704835,188,0.05064655172413793,0.24923897717669266,True,
6326,0.1919878603945372,0.9701233006639266,189,0.05091594827586207,0.25030743919582277,True,
6330,0.1921092564491654,0.9701421800947867,189,0.05091594827586207,0.2505206635695011,True,
6362,0.1930804248861912,0.9701351776171016,190,0.05118534482758621,0.2510037969930701,True,
6440,0.19544764795144157,0.9701863354037267,192,0.05172413793103448,0.2519083126628661,True,
6456,0.19593323216995448,0.9699504337050805,194,0.052262931034482756,0.2520141291961238,True,
6466,0.19623672230652503,0.9699969068976183,194,0.052262931034482756,0.2522957598338856,True,
6502,0.19732928679817907,0.9698554290987389,196,0.052801724137931036,0.252438684093899,True,
6515,0.1977238239757208,0.9696085955487337,198,0.05334051724137931,0.25273117232977316,True,
6554,0.19890743550834597,0.9697894415624047,198,0.05334051724137931,0.25327899818792654,True,
