band_size,band_fraction,precision,positives_in_band,recall,threshold,feasible,binding
874,0.043132803632236094,0.6086956521739131,532,0.14331896551724138,0.8668700562300231,True,
879,0.043379558801756896,0.6097838452787259,536,0.14439655172413793,0.8661561532887803,True,
888,0.04382371810689434,0.6047297297297297,537,0.14466594827586207,0.8661362980851676,True,
900,0.04441593051374426,0.6,540,0.14547413793103448,0.8660990767398357,True,
904,0.0446133346493609,0.6017699115044248,544,0.14655172413793102,0.8657133775940651,True,
905,0.04466268568326506,0.6022099447513812,545,0.14682112068965517,0.8656396222153951,True,
906,0.04471203671716922,0.6015452538631346,545,0.14682112068965517,0.8650480630721578,True,
907,0.044761387751073384,0.6019845644983461,546,0.1470905172413793,0.8647261742072629,True,
911,0.044958791886690025,0.601536772777168,548,0.1476293103448276,0.8643980262150799,True,
913,0.045057493954498345,0.6002190580503833,548,0.1476293103448276,0.8642647541674288,True,
915,0.045156196022306666,0.6010928961748634,550,0.14816810344827586,0.8638208330258766,True,
918,0.04530424912401915,0.6013071895424836,552,0.14870689655172414,0.8636628148287456,True,
922,0.04550165325963579,0.6008676789587852,554,0.1492456896551724,0.8630786048374505,True,
923,0.04555100429353995,0.600216684723727,554,0.1492456896551724,0.8622414975883743,True,
924,0.04560035532744411,0.6006493506493507,555,0.14951508620689655,0.861887287559513,True,
925,0.04564970636134827,0.601081081081081,556,0.1497844827586207,0.8617083209000549,True,
926,0.04569905739525243,0.6015118790496761,557,0.15005387931034483,0.8614739815063567,True,
929,0.04584711049696491,0.6006458557588805,558,0.15032327586206898,0.8613856342559322,True,
932,0.04599516359867739,0.6008583690987125,560,0.15086206896551724,0.8613024726145568,True,
934,0.04609386566648571,0.6017130620985011,562,0.15140086206896552,0.8612743872464604,True,
935,0.04614321670038987,0.6010695187165775,562,0.15140086206896552,0.8604257595100131,True,
938,0.04629126980210235,0.6012793176972282,564,0.15193965517241378,0.8598361851093539,True,
940,0.04638997186991067,0.601063829787234,565,0.15220905172413793,0.8591158108267909,True,
941,0.046439322903814834,0.6014877789585548,566,0.15247844827586207,0.8591141579883853,True,
942,0.046488673937718994,0.6008492569002123,566,0.15247844827586207,0.859057317052394,True,
944,0.046587376005527315,0.600635593220339,567,0.15274784482758622,0.8589522028505611,True,
